Year,Month,Day,Hour,Temp,Dewtemp,Pressure,WindDir,WindSpeed,Sky,Precip1,Precip6,ID
2010,1,10,15,-63,-79,10196,310,140,7,-9999,-9999,010010-99999
2010,1,10,16,-71,-91,10211,310,100,-9999,-9999,-9999,010010-99999
2010,1,10,17,-74,-94,10221,340,80,-9999,-9999,-9999,010010-99999
2010,1,10,18,-74,-93,10229,340,70,5,-9999,-9999,010010-99999
2010,1,10,19,-63,-85,10233,330,20,-9999,-9999,-9999,010010-99999
2010,1,10,20,-60,-81,10235,260,10,-9999,-9999,-9999,010010-99999
2010,1,10,21,-55,-72,10236,230,10,-9999,-9999,-9999,010010-99999
2010,1,10,22,-46,-59,10233,230,20,-9999,-9999,-9999,010010-99999
2010,1,10,23,-39,-49,10226,220,40,-9999,-9999,-9999,010010-99999
2010,1,11,0,-31,-42,10222,210,20,8,-9999,20,010010-99999
2010,1,11,1,-28,-39,10214,200,10,-9999,-9999,-9999,010010-99999
2010,1,11,2,-10,-16,10206,30,20,-9999,-9999,-9999,010010-99999
2010,1,11,3,23,4,10197,240,100,-9999,-9999,-9999,010010-99999
2010,1,11,4,21,4,10197,230,100,-9999,-9999,-9999,010010-99999
2010,1,11,5,21,7,10191,230,140,-9999,-9999,-9999,010010-99999
2010,1,11,6,18,5,10192,230,160,6,-9999,-9999,010010-99999
2010,1,11,7,13,1,10195,230,120,-9999,-9999,-9999,010010-99999
2010,1,11,8,15,3,10196,240,90,-9999,-9999,-9999,010010-99999
2010,1,11,9,17,2,10198,270,70,8,-9999,-9999,010010-99999
2010,1,11,10,15,0,10204,280,50,-9999,-9999,-9999,010010-99999
2010,1,11,11,17,-2,10203,230,70,-9999,-9999,-9999,010010-99999
2010,1,11,12,19,0,10203,250,40,7,-9999,5,010010-99999
2010,1,11,13,15,-5,10202,240,40,-9999,-9999,-9999,010010-99999
2010,1,11,14,13,-6,10197,230,60,-9999,-9999,-9999,010010-99999
2010,1,11,15,15,-4,10195,220,40,7,-9999,-9999,010010-99999
2010,1,11,16,17,-3,10191,240,70,-9999,-9999,-9999,010010-99999
2010,1,11,17,17,-1,10194,260,60,-9999,-9999,-9999,010010-99999
2010,1,11,18,16,0,10194,230,70,8,-9999,-9999,010010-99999
2010,1,11,19,13,-3,10192,220,60,-9999,-9999,-9999,010010-99999
2010,1,11,20,14,0,10192,220,70,-9999,-9999,-9999,010010-99999
2010,1,11,21,16,3,10192,210,60,-9999,-9999,-9999,010010-99999
2010,1,11,22,18,0,10189,210,70,-9999,-9999,-9999,010010-99999
2010,1,11,23,13,-1,10188,230,60,-9999,-9999,-9999,010010-99999
2010,1,12,0,15,-5,10191,220,60,6,-9999,0,010010-99999
2010,1,12,1,11,-6,10193,230,60,-9999,-9999,-9999,010010-99999
2010,1,12,2,21,-2,10188,250,80,-9999,-9999,-9999,010010-99999
2010,1,12,3,23,-3,10179,270,130,-9999,-9999,-9999,010010-99999
2010,1,12,4,28,-8,10175,270,140,-9999,-9999,-9999,010010-99999
2010,1,12,5,38,-8,10172,270,150,-9999,-9999,-9999,010010-99999
2010,1,12,6,33,-8,10181,260,80,2,-9999,-9999,010010-99999
2010,1,12,7,27,-7,10187,220,60,-9999,-9999,-9999,010010-99999
2010,1,12,8,29,-9,10188,210,50,-9999,-9999,-9999,010010-99999
2010,1,12,9,36,-19,10187,200,50,-9999,-9999,-9999,010010-99999
2010,1,12,10,33,-22,10190,230,40,-9999,-9999,-9999,010010-99999
2010,1,12,11,26,-16,10189,140,10,-9999,-9999,-9999,010010-99999
2010,1,12,12,15,-8,10189,210,40,1,-9999,0,010010-99999
2010,1,12,13,13,-13,10186,210,50,-9999,-9999,-9999,010010-99999
2010,1,12,14,9,-10,10183,210,50,-9999,-9999,-9999,010010-99999
2010,1,12,15,-4,-13,10181,200,80,5,-9999,-9999,010010-99999
2010,1,12,16,-7,-14,10178,200,70,-9999,-9999,-9999,010010-99999
2010,1,12,17,-7,-13,10176,200,60,-9999,-9999,-9999,010010-99999
2010,1,12,18,2,-6,10173,220,40,8,-9999,-9999,010010-99999
2010,1,12,19,8,-4,10171,200,50,-9999,-9999,-9999,010010-99999
2010,1,12,20,8,-15,10168,200,80,-9999,-9999,-9999,010010-99999
2010,1,12,21,5,-23,10166,200,60,-9999,-9999,-9999,010010-99999
2010,1,12,22,3,-18,10161,210,40,-9999,-9999,-9999,010010-99999
2010,1,12,23,6,-22,10158,210,30,-9999,-9999,-9999,010010-99999
2010,1,13,0,6,-14,10154,210,20,8,-9999,0,010010-99999
2010,1,13,1,7,-12,10148,170,20,-9999,-9999,-9999,010010-99999
2010,1,13,2,11,-7,10143,180,30,-9999,-9999,-9999,010010-99999
2010,1,13,3,12,-3,10134,90,40,-9999,-9999,-9999,010010-99999
2010,1,13,4,14,3,10126,170,50,-9999,-9999,-9999,010010-99999
2010,1,13,5,15,5,10118,160,60,-9999,-9999,-9999,010010-99999
2010,1,13,6,16,6,10114,160,60,8,-9999,-9999,010010-99999
2010,1,13,7,15,5,10112,200,50,-9999,-9999,-9999,010010-99999
2010,1,13,8,14,5,10107,200,40,-9999,-9999,-9999,010010-99999
2010,1,13,9,17,7,10107,210,50,8,-9999,-9999,010010-99999
2010,1,13,10,17,6,10107,190,40,-9999,-9999,-9999,010010-99999
2010,1,13,11,16,5,10104,200,30,-9999,-9999,-9999,010010-99999
2010,1,13,12,16,5,10102,190,30,8,-9999,0,010010-99999
2010,1,13,13,16,6,10099,200,40,-9999,-9999,-9999,010010-99999
2010,1,13,14,16,5,10097,200,40,-9999,-9999,-9999,010010-99999
2010,1,13,15,15,4,10097,190,30,8,-9999,-9999,010010-99999
2010,1,13,16,14,2,10094,180,30,-9999,-9999,-9999,010010-99999
2010,1,13,17,14,2,10090,120,10,-9999,-9999,-9999,010010-99999
2010,1,13,18,15,4,10089,210,20,8,-9999,-9999,010010-99999
2010,1,13,19,18,8,10089,210,30,-9999,-9999,-9999,010010-99999
2010,1,13,20,17,8,10088,210,30,-9999,-9999,-9999,010010-99999
2010,1,13,21,20,10,10088,190,40,-9999,-9999,-9999,010010-99999
2010,1,13,22,17,6,10086,170,20,-9999,-9999,-9999,010010-99999
2010,1,13,23,16,6,10084,200,40,-9999,-9999,-9999,010010-99999
2010,1,14,0,15,6,10082,200,40,8,-9999,8,010010-99999
2010,1,14,1,18,11,10080,180,70,-9999,-9999,-9999,010010-99999
